trial_index,group_id,trial_in_group,alpha,label_digit,label_type,show_time,image_path
0,0,0,0.9,8,abnormal,0.5,stimuli_master_pool/alpha_0.90/a0.90_rank128.png
1,0,1,0.38,3,normal,0.7,stimuli_master_pool/alpha_0.38/a0.38_rank364.png
2,0,2,0.0,3,normal,1.0,stimuli_master_pool/alpha_0.00/a0.00_rank035.png
3,0,3,0.38,3,normal,0.5,stimuli_master_pool/alpha_0.38/a0.38_rank354.png
4,0,4,0.64,8,abnormal,0.7,stimuli_master_pool/alpha_0.64/a0.64_rank244.png
5,0,5,0.2,3,normal,1.0,stimuli_master_pool/alpha_0.20/a0.20_rank124.png
6,0,6,0.42,3,normal,0.5,stimuli_master_pool/alpha_0.42/a0.42_rank697.png
7,0,7,1.0,8,abnormal,0.7,stimuli_master_pool/alpha_1.00/a1.00_rank113.png
8,0,8,0.8,8,abnormal,1.0,stimuli_master_pool/alpha_0.80/a0.80_rank240.png
9,0,9,0.3,3,normal,0.5,stimuli_master_pool/alpha_0.30/a0.30_rank224.png
10,0,10,0.48,3,normal,0.7,stimuli_master_pool/alpha_0.48/a0.48_rank394.png
11,0,11,0.38,3,normal,1.0,stimuli_master_pool/alpha_0.38/a0.38_rank215.png
12,0,12,0.42,3,normal,0.5,stimuli_master_pool/alpha_0.42/a0.42_rank244.png
13,0,13,1.0,8,abnormal,0.7,stimuli_master_pool/alpha_1.00/a1.00_rank144.png
14,0,14,0.2,3,normal,1.0,stimuli_master_pool/alpha_0.20/a0.20_rank203.png
15,0,15,0.7,8,abnormal,0.5,stimuli_master_pool/alpha_0.70/a0.70_rank015.png
16,0,16,0.38,3,normal,0.7,stimuli_master_pool/alpha_0.38/a0.38_rank481.png
17,0,17,0.58,8,abnormal,1.0,stimuli_master_pool/alpha_0.58/a0.58_rank029.png
18,0,18,0.3,3,normal,0.5,stimuli_master_pool/alpha_0.30/a0.30_rank231.png
19,0,19,0.38,3,normal,0.7,stimuli_master_pool/alpha_0.38/a0.38_rank010.png
20,0,20,0.46,3,normal,1.0,stimuli_master_pool/alpha_0.46/a0.46_rank694.png
21,0,21,0.64,8,abnormal,0.5,stimuli_master_pool/alpha_0.64/a0.64_rank343.png
22,0,22,0.0,3,normal,0.7,stimuli_master_pool/alpha_0.00/a0.00_rank133.png
23,0,23,0.2,3,normal,1.0,stimuli_master_pool/alpha_0.20/a0.20_rank230.png
24,0,24,0.34,3,normal,0.5,stimuli_master_pool/alpha_0.34/a0.34_rank178.png
25,0,25,0.52,8,abnormal,0.7,stimuli_master_pool/alpha_0.52/a0.52_rank285.png
26,0,26,0.7,8,abnormal,1.0,stimuli_master_pool/alpha_0.70/a0.70_rank014.png
27,0,27,0.48,3,normal,0.5,stimuli_master_pool/alpha_0.48/a0.48_rank511.png
28,0,28,0.3,3,normal,0.7,stimuli_master_pool/alpha_0.30/a0.30_rank167.png
29,0,29,0.0,3,normal,1.0,stimuli_master_pool/alpha_0.00/a0.00_rank142.png
30,0,30,0.58,8,abnormal,0.5,stimuli_master_pool/alpha_0.58/a0.58_rank267.png
31,0,31,0.8,8,abnormal,0.7,stimuli_master_pool/alpha_0.80/a0.80_rank030.png
32,0,32,1.0,8,abnormal,1.0,stimuli_master_pool/alpha_1.00/a1.00_rank135.png
33,0,33,0.46,3,normal,0.5,stimuli_master_pool/alpha_0.46/a0.46_rank601.png
34,0,34,0.0,3,normal,0.7,stimuli_master_pool/alpha_0.00/a0.00_rank090.png
35,0,35,0.64,8,abnormal,1.0,stimuli_master_pool/alpha_0.64/a0.64_rank491.png
36,0,36,0.48,3,normal,0.5,stimuli_master_pool/alpha_0.48/a0.48_rank236.png
37,0,37,0.48,3,normal,0.7,stimuli_master_pool/alpha_0.48/a0.48_rank004.png
38,0,38,1.0,8,abnormal,1.0,stimuli_master_pool/alpha_1.00/a1.00_rank103.png
39,0,39,1.0,8,abnormal,0.5,stimuli_master_pool/alpha_1.00/a1.00_rank058.png
40,0,40,0.56,8,abnormal,0.7,stimuli_master_pool/alpha_0.56/a0.56_rank042.png
41,0,41,0.46,3,normal,1.0,stimuli_master_pool/alpha_0.46/a0.46_rank491.png
42,0,42,0.8,8,abnormal,0.5,stimuli_master_pool/alpha_0.80/a0.80_rank180.png
43,0,43,0.48,3,normal,0.7,stimuli_master_pool/alpha_0.48/a0.48_rank685.png
44,0,44,0.3,3,normal,1.0,stimuli_master_pool/alpha_0.30/a0.30_rank256.png
